,orp,ph,fc
0,507,6.9,0.2
1,561,6.9,0.3
2,599,6.9,0.4
3,629,6.9,0.5
4,652,6.9,0.6
5,663,6.9,0.65
6,673,6.9,0.67
7,682,6.9,0.75
8,690,6.9,0.8
9,698,6.9,0.85
10,706,6.9,0.9
11,713,6.9,0.95
12,720,6.9,1.0
13,733,6.9,1.1
14,744,6.9,1.2
15,755,6.9,1.3
16,765,6.9,1.4
17,774,6.9,1.5
18,790,6.9,1.7
19,798,6.9,1.8
20,812,6.9,2.0
21,824,6.9,2.2
22,841,6.9,2.5
23,505,7.0,0.2
24,558,7.0,0.3
25,596,7.0,0.4
26,625,7.0,0.5
27,648,7.0,0.6
28,658,7.0,0.65
29,669,7.0,0.67
30,677,7.0,0.75
31,686,7.0,0.8
32,694,7.0,0.85
33,702,7.0,0.9
34,708,7.0,0.95
35,715,7.0,1.0
36,727,7.0,1.1
37,739,7.0,1.2
38,749,7.0,1.3
39,759,7.0,1.4
40,768,7.0,1.5
41,784,7.0,1.7
42,792,7.0,1.8
43,805,7.0,2.0
44,818,7.0,2.2
45,834,7.0,2.5
46,502,7.2,0.2
47,553,7.2,0.3
48,590,7.2,0.4
49,618,7.2,0.5
50,640,7.2,0.6
51,650,7.2,0.65
52,660,7.2,0.67
53,668,7.2,0.75
54,677,7.2,0.8
55,684,7.2,0.85
56,692,7.2,0.9
57,698,7.2,0.95
58,705,7.2,1.0
59,717,7.2,1.1
60,728,7.2,1.2
61,738,7.2,1.3
62,747,7.2,1.4
63,756,7.2,1.5
64,771,7.2,1.7
65,779,7.2,1.8
66,792,7.2,2.0
67,804,7.2,2.2
68,826,7.2,2.5
69,500,7.3,0.2
70,550,7.3,0.3
71,586,7.3,0.4
72,615,7.3,0.5
73,637,7.3,0.6
74,646,7.3,0.65
75,656,7.3,0.67
76,664,7.3,0.75
77,672,7.3,0.8
78,680,7.3,0.85
79,687,7.3,0.9
80,694,7.3,0.95
81,700,7.3,1.0
82,712,7.3,1.1
83,722,7.3,1.2
84,732,7.3,1.3
85,742,7.3,1.4
86,750,7.3,1.5
87,765,7.3,1.7
88,773,7.3,1.8
89,785,7.3,2.0
90,797,7.3,2.2
91,813,7.3,2.5
92,499,7.4,0.2
93,548,7.4,0.3
94,583,7.4,0.4
95,611,7.4,0.5
96,632,7.4,0.6
97,642,7.4,0.65
98,651,7.4,0.67
99,660,7.4,0.75
100,668,7.4,0.8
101,675,7.4,0.85
102,682,7.4,0.9
103,689,7.4,0.95
104,695,7.4,1.0
105,707,7.4,1.1
106,717,7.4,1.2
107,727,7.4,1.3
108,736,7.4,1.4
109,744,7.4,1.5
110,759,7.4,1.7
111,766,7.4,1.8
112,779,7.4,2.0
113,781,7.4,2.2
114,806,7.4,2.5
115,497,7.5,0.2
116,546,7.5,0.3
117,580,7.5,0.4
118,607,7.5,0.5
119,629,7.5,0.6
120,638,7.5,0.65
121,647,7.5,0.67
122,655,7.5,0.75
123,663,7.5,0.8
124,670,7.5,0.85
125,677,7.5,0.9
126,684,7.5,0.95
127,690,7.5,1.0
128,701,7.5,1.1
129,712,7.5,1.2
130,721,7.5,1.3
131,730,7.5,1.4
132,738,7.5,1.5
133,753,7.5,1.7
134,760,7.5,1.8
135,773,7.5,2.0
136,784,7.5,2.2
137,800,7.5,2.5
138,496,7.6,0.2
139,544,7.6,0.3
140,577,7.6,0.4
141,604,7.6,0.5
142,625,7.6,0.6
143,634,7.6,0.65
144,643,7.6,0.67
145,651,7.6,0.75
146,659,7.6,0.8
147,666,7.6,0.85
148,673,7.6,0.9
149,679,7.6,0.95
150,685,7.6,1.0
151,696,7.6,1.1
152,706,7.6,1.2
153,716,7.6,1.3
154,724,7.6,1.4
155,732,7.6,1.5
156,747,7.6,1.7
157,754,7.6,1.8
158,766,7.6,2.0
159,777,7.6,2.2
160,792,7.6,2.5
161,494,7.7,0.2
162,541,7.7,0.3
163,574,7.7,0.4
164,600,7.7,0.5
165,621,7.7,0.6
166,630,7.7,0.65
167,639,7.7,0.67
168,647,7.7,0.75
169,654,7.7,0.8
170,661,7.7,0.85
171,668,7.7,0.9
172,674,7.7,0.95
173,680,7.7,1.0
174,691,7.7,1.1
175,701,7.7,1.2
176,710,7.7,1.3
177,719,7.7,1.4
178,727,7.7,1.5
179,741,7.7,1.7
180,748,7.7,1.8
181,760,7.7,2.0
182,771,7.7,2.2
183,785,7.7,2.5
184,493,7.8,0.2
185,539,7.8,0.3
186,571,7.8,0.4
187,597,7.8,0.5
188,617,7.8,0.6
189,626,7.8,0.65
190,635,7.8,0.67
191,642,7.8,0.75
192,650,7.8,0.8
193,657,7.8,0.85
194,663,7.8,0.9
195,669,7.8,0.95
196,675,7.8,1.0
197,686,7.8,1.1
198,695,7.8,1.2
199,705,7.8,1.3
200,713,7.8,1.4
201,721,7.8,1.5
202,735,7.8,1.7
203,741,7.8,1.8
204,753,7.8,2.0
205,764,7.8,2.2
206,771,7.8,2.5
207,491,7.9,0.2
208,536,7.9,0.3
209,568,7.9,0.4
210,593,7.9,0.5
211,613,7.9,0.6
212,622,7.9,0.65
213,630,7.9,0.67
214,638,7.9,0.75
215,645,7.9,0.8
216,652,7.9,0.85
217,658,7.9,0.9
218,664,7.9,0.95
219,670,7.9,1.0
220,680,7.9,1.1
221,690,7.9,1.2
222,699,7.9,1.3
223,707,7.9,1.4
224,715,7.9,1.5
225,728,7.9,1.7
226,735,7.9,1.8
227,747,7.9,2.0
228,757,7.9,2.2
229,771,7.9,2.5
230,490,8.0,0.2
231,534,8.0,0.3
232,565,8.0,0.4
233,590,8.0,0.5
234,610,8.0,0.6
235,618,8.0,0.65
236,626,8.0,0.67
237,634,8.0,0.75
238,641,8.0,0.8
239,647,8.0,0.85
240,654,8.0,0.9
241,659,8.0,0.95
242,665,8.0,1.0
243,675,8.0,1.1
244,685,8.0,1.2
245,694,8.0,1.3
246,702,8.0,1.4
247,709,8.0,1.5
248,722,8.0,1.7
249,729,8.0,1.8
250,740,8.0,2.0
251,751,8.0,2.2
252,764,8.0,2.5
253,488,8.1,0.2
254,532,8.1,0.3
255,562,8.1,0.4
256,586,8.1,0.5
257,605,8.1,0.6
258,614,8.1,0.65
259,622,8.1,0.67
260,629,8.1,0.75
261,636,8.1,0.8
262,643,8.1,0.85
263,649,8.1,0.9
264,654,8.1,0.95
265,660,8.1,1.0
266,670,8.1,1.1
267,679,8.1,1.2
268,688,8.1,1.3
269,696,8.1,1.4
270,703,8.1,1.5
271,716,8.1,1.7
272,722,8.1,1.8
273,734,8.1,2.0
274,744,8.1,2.2
275,757,8.1,2.5
276,487,8.2,0.2
277,529,8.2,0.3
278,559,8.2,0.4
279,583,8.2,0.5
280,602,8.2,0.6
281,610,8.2,0.65
282,618,8.2,0.67
283,625,8.2,0.75
284,632,8.2,0.8
285,638,8.2,0.85
286,644,8.2,0.9
287,650,8.2,0.95
288,655,8.2,1.0
289,665,8.2,1.1
290,674,8.2,1.2
291,682,8.2,1.3
292,690,8.2,1.4
293,697,8.2,1.5
294,710,8.2,1.7
295,716,8.2,1.8
296,727,8.2,2.0
297,737,8.2,2.2
298,751,8.2,2.5
